Ingredient,Total Quantity Required (grams)
?duja Salami,897.1536538041307
Alfredo Sauce,162.9598134346814
Anchovies,750.9437441924459
Artichokes,2126.682734110006
Arugula,236.000605851037
Asiago Cheese,1525.369555195865
Bacon,8986.14315333087
Barbecue Sauce,635.5463933700179
Barbecued Chicken,1868.5550796479663
Beef Chuck Roast,4230.604456606237
Blue Cheese,726.5502167841549
Brie Carre Cheese,268.1298160082761
Calabrese Salami,3601.931031123473
Capocollo,12490.696720289821
Caramelized Onions,273.172464947472
Chicken,17357.596130619284
Chipotle Sauce,1327.165838506897
Chorizo Sausage,1629.2747758135279
Cilantro,663.5829192534485
Coarse Sicilian Salami,3711.362752215404
Corn,4463.6064165064845
Eggplant,507.44328486112204
Feta Cheese,2794.734393069235
Fontina Cheese,1127.2187309816804
Friggitello Peppers,224.28841345103268
Garlic,5853.6435928838
Genoa Salami,2509.5102484839736
Goat Cheese,1882.49944334389
Gorgonzola Piccante Cheese,1069.680423915714
Gouda Cheese,839.6953393115323
Green Olives,1214.082727325289
Green Peppers,2298.6572365409584
Italian Sausage,325.85495516270555
Jalapeno Peppers,1083.4305889092145
Kalamata Olives,955.819906362581
Luganega Sausage,1855.681376107702
Mozzarella Cheese,3981.2049514483165
Mushrooms,7137.2975757586155
Onions,927.840688053851
Oregano,211.72093173765026
Pancetta,1345.730480706196
Parmigiano Reggiano Cheese,2490.802356409811
Pears,89.37660533609204
Peperoncini verdi,258.9039290983223
Pepperoni,8509.591330892832
Pesto Sauce,983.2735984046187
Pineapple,3644.919387104835
Plum Tomatoes,707.1113617032055
Prosciutto,268.1298160082761
Prosciutto di San Daniele,551.3385583226102
Provolone Cheese,726.5502167841549
Red Onions,17496.27278369365
Red Peppers,3475.3385018531485
Ricotta Cheese,1337.1005298946425
Romano Cheese,726.5502167841549
Sliced Ham,2018.4363407192727
Smoked Gouda Cheese,726.5502167841549
Soppressata Salami,1437.616958350741
Spinach,6131.760157086117
Sun-dried Tomatoes,343.78831263074613
Thai Sweet Chilli Sauce,1243.0468016157308
Thyme,44.68830266804602
Tomatoes,11967.415159117278
Zucchini,1183.9782250210844
